公司ID,公司名称,贷款合同ID,贷款起效日期,含供应链信息句子
106374,NEW VALLEY CORP,000095014404012399_0002-(EX-10.1)_SALE-PURCHASE_AGREEMENT_g92512exv10w1.htm,"September 30, 2004","17.1 Between the date hereof and the Closing Date, Seller shall cause its managing agent for the Properties to continue to operate and manage the Properties in substantially the same manner as they -35- were operated and managed prior to the execution and delivery of this Agreement, including, without limitation, preserving the good will of all suppliers and tenants, and complying with all applicable laws, ordinances, rules, regulations and order (subject, however, to the provisions of Section 7.2 hereof with respect to Violations)."
1065034,MAGMA DESIGN AUTOMATION INC,000119312504219697_0002-(EX-10.1)_MAGMAS_2005_KEY_CONTRIBUTOR_LONG-TERM_INCENTIVE_PLAN_dex101.htm,"January 1, 2005","“Constructive Termination ” shall be deemed to occur when the only position available at the successor or surviving company entails (i) a relocation of more than 50 miles, (ii) a reduction in base pay, or (iii) a unilateral change by the successor or surviving company 2 (or its parent) in Participant’s duties to non-executive level duties (in the case of an executive officers) or non-management level duties (in the case of other management employees); provided, however, that a Participant’s duties shall not be deemed non-executive (in the case of executive officers), or non-management (in the case of management employees), level duties if they involve duties as to the Magma division or subsidiary of the successor or surviving company (or its parent) that are comparable in scope to Participants duties at Magma immediately prior to the related Change of Control and in the case of managerial level employees, a Participant’s duties shall not be deemed non-managerial if they involve duties as to the Magma division or subsidiary of the successor or surviving company (or its parent) that are comparable in scope to Participant’s duties at Magma immediately prior to the related Change of Control.. “Cause” means termination of a Participant’s employment for: (i) continued failure to substantially perform Participant’s duties, which standard duties shall be referenced to the standards set by Magma at the date of Participant’s Award Statement (other than as a result of Participant’s sickness, accident or similar cause beyond Participant’s control) after receipt of a written warning and Participant being given thirty (30) days to cure such failure; (ii) willful misconduct or gross negligence, which is demonstrably injurious to the Magma or any of its subsidiaries, including without limitation willful or grossly negligent failure to perform Participant’s material duties as an officer or employee of Magma or any of its subsidiaries or a material breach of the KC Incentive Plan, Participant’s employment agreement (if any) or Participant’s Proprietary Information and Inventions Agreement with Magma; (iii) conviction of or plea of nolo contendere to a felony; or (iv) commission of an act of fraud against, or the misappropriation of property belonging to, Magma or any affiliated company, employee, customer or supplier of Magma."
1065078,NETWORK 1 SECURITY SOLUTIONS INC,000107261304002378_0002-(EX-10.1)_SECURITIES_PURCHASE_AGREEMENT_exh10-1_13169.txt,"December 21, 2004","PowerDsine further seeks an order permanently enjoining the Company (i) from making any claims to any person or entity that PowerDsine's products infringe the Remote Power Patent or contributes to infringement of the patent, (ii) from interfering with or threatening to interfere with the importation, sale, license or use of PowerDsine's PoE components or products, and (iii) from instituting or prosecuting any lawsuit or proceeding placing at issue the right of PowerDsine, its customers, licensees, successors, or assigns to import, use or sell PowerDsine's PoE components or products."
1065078,NETWORK 1 SECURITY SOLUTIONS INC,000107261304002378_0002-(EX-10.1)_SECURITIES_PURCHASE_AGREEMENT_exh10-1_13169.txt,"December 21, 2004","PowerDsine further seeks an order permanently enjoining us (i) from making any claims to any person or entity that PowerDsine's products infringe the Remote Power Patent or contributes to infringement of the patent, (ii) from interfering with or threatening to interfere with the importation, sale, license or use of PowerDsine's PoE components or products, and (iii) from instituting or prosecuting any lawsuit or proceeding placing at issue the right of PowerDsine, its customers, licensees, successors, or assigns to import, use or sell PowerDsine's PoE components or products."
1065837,SKECHERS USA INC,000095012904009980_0002-(EX-99.1)_EXHIBIT_99.1_v04182exv99w1.htm,"December 20, 2004","Factors that might cause or contribute to such differences include, international, national and local general economic, political and market conditions; intense competition among sellers of footwear for consumers; changes in fashion trends and consumer demands; popularity of particular designs and categories of products; the level of sales during the spring, back-to-school or holiday selling seasons; the inability to anticipate, identify, interpret or forecast changes in fashion trends, consumer demand for our products and the various market factors described above; the ability of our company to maintain its brand image; the ability to sustain, manage or forecast our company’s growth and inventories; the ability to secure and protect trademarks, patents, and other intellectual property; the loss of significant customers, decreased demand by industry retailers and cancellation of order commitments; potential disruptions in manufacturing related to overseas sourcing and concentration of production in China, including, without limitation, difficulties associated with electrical shortages or work stoppages that may lead to production delays; increased costs of freight and transportation to meet delivery deadlines; business disruptions due to energy shortages or natural disasters such as an earthquake due to the location of our domestic warehouse, headquarters and a substantial number of our retail stores; changes in business strategy or development plans; the ability to obtain additional capital to fund operations, finance growth and service debt obligations; the ability to attract and retain qualified personnel; compliance with recent legislation including the Sarbanes-Oxley Act of 2002; and other factors referenced or incorporated by reference in the Company’s annual report on form 10K for the year ended December 31, 2003 and Company’s Form 10Q for the quarter ended September 30, 2004."
1047166,UNITED RENTALS NORTH AMERICA INC,000119312504219889_0002-(EX-99.1)_FORM_OF_SALE-LEASEBACK_COMMITMENT_AGREEMENT_dex991.htm,"December 31, 2005","Tenant shall defend, indemnify and save and hold Landlord harmless from and against any and all liabilities, obligations, losses, damages, injunctions, suits, actions, fines, penalties, claims, demands, costs and expenses of every kind or nature (except as may arise through the negligence or misconduct of Landlord, its successors and assigns, and their respective directors, officers, employees and agents), including reasonable attorneys’ fees and court costs, incurred by Landlord, arising directly or indirectly from or out of: (i) any failure by Tenant to perform any of the terms, provisions, covenants or conditions of this Lease on Tenant’s part to be performed; (ii) any accident, injury or damage which shall happen at, in or upon the Premises, however occurring; (iii) any matter or thing growing out of the condition, occupation, maintenance, alteration, repair, use or operation by any person of the Premises, or any part thereof, or the operation of the business contemplated by this Lease to be conducted thereon, thereat, therein, or therefrom; (iv) any failure of Tenant to comply with any laws, ordinances, requirements, orders, directions, rules or regulations of any governmental authority, including, without limitation, the Accessibility Laws; (v) any contamination of the Premises, or the groundwaters thereof, arising on or after the Rental Commencement Date; (vi) any discharge of Hazardous Materials sewage or waste materials from the Premises occurring on or after the Rental Commencement Date; or (vii) any other act or omission of Tenant, its employees, agents, invitees, customers, licensees or contractors."
1068851,PROSPERITY BANCSHARES INC,000119312504220826_0003-(EX-99.2)_MANAGEMENTS_DISCUSSION__ANALYSIS_OF_FINANCIAL_CONDITION__RESULTS_OF_OPERATION_dex992.htm,"February 23, 2001","In the event the customer does not perform in accordance with the terms of the agreement with the third party, the Company would be required to fund the commitment."
1068851,PROSPERITY BANCSHARES INC,000119312504220826_0005-(EX-99.4)_CONSOLIDATED_FINANCIAL_STATEMENTS_dex994.htm,"December 31, 2003",Commitments to extend credit are agreements to lend to a customer as long as there is no violation of any condition established in the contract.
1069353,CONEXANT SYSTEMS INC,000129993304002421_0002-(EX-10.1)_EX-10.1_exhibit1.htm,"November 9, 2004","Such property includes, without limitation, computer hardware and software, electronic equipment, keys, identification cards, files, notes, electronic storage on CD Rom or in other storage media, records, reports, customer and business information, and other documents or materials relating to the Company’s business (and all copies thereof)."
1071941,"ARCADIA RESOURCES, INC",000116796604001300_0002-(EX-10)_ex10-1.txt,"DECEMBER 22, 2004","To the best of Sellers' knowledge, all inventory of the Companies, whether or not reflected in the Financial Statements, consists of (i) good quality and reasonable quantity, fully usable and saleable within the twelve month period following the Closing Date in the ordinary course of business, (ii) all inventories have been priced at the lower of cost or market on a first in first out basis in accordance with GAAP, and (iii) the quantities of each of item of inventory (whether raw materials, work in process, or finished goods) are not excessive, are reasonable in the present circumstances of the Companies and meet all current customer specifications."
1071941,"ARCADIA RESOURCES, INC",000116796604001300_0002-(EX-10)_ex10-1.txt,"DECEMBER 22, 2004","2.19.1 Schedule 2.19.1 contains a complete and correct list, and Sellers have made available to Buyer true and complete copies, of: (a) Each Contract that involves the furnishing or performance of services, or the delivery, sale, lease or transfer of goods, materials or products, by the Companies in an amount or value in excess of $10,000, including, but not limited to, purchase orders received by the Companies; (b) Each Contract that involves the furnishing or performance of services to, or the purchase, lease or receipt of goods, materials, inventory, supplies, products or other personal property by the Companies in an amount or value in excess of $10,000, including, but not limited to, purchase orders issued by the Companies; (c) Each lease, rental or occupancy agreement, license, installment and conditional sale agreement, and other Contracts affecting the ownership of, leasing of, title to, use of, or any leasehold or other interest in, any personal property (except personal property leases and installment and conditional sales agreements having a value per item or aggregate payments of less than $50,000); (d) Each Contract under which the Companies have created, incurred, assumed or guaranteed any indebtedness for borrowed money, have incurred any capitalized lease obligation, or under which any of their tangible or intangible assets, are Encumbered; (e) Each licensing agreement or other Contract with respect to any Intellectual Property Assets, including, without limitation, agreements with current or former 12 employees, consultants, or contractors regarding the appropriation or the non-disclosure of any of the Intellectual Property Assets; (f) Each profit sharing, stock option, stock purchase, stock appreciation, deferred compensation, severance, or other plan, arrangement, contract or Employee Benefit Plan for the benefit of its current or former directors, officers, and employees, except for Employee Benefits Plans disclosed in Schedule 2.15; (g) Each written agreement for the employment of or receipt of any services from any Person on a full-time, part-time, consulting, commission or any other basis, except for oral agreements of employment that are terminable by the Companies at will and without any Liability; (h) Each Contract containing covenants that in any way purport to restrict the business activity of the Companies or limit the freedom of the Companies to engage in any line of business or to compete with any Person; (i) Each Contract for capital expenditures in excess of $10,000; (j) Each warranty, guaranty, or other similar undertaking extended by the Companies for or with respect to any Person, except as disclosed in Schedule 2.27; (k) Each Contract with any employee, officer, director, shareholder, sales representative, consultant, distributor, Representative or agent of the Companies; (l) Each Contract relating to Intellectual Property Assets; (m) Each Contract not entered into in the Ordinary Course of Business; (n) Each Contract relating to confidentiality or noncompetition; 2.19.2 Except as set forth in Schedule 2.19.2, the Sellers do not have any fixed or contingent rights or obligations under any Contract that relates to the business of, or any of the assets owned or used by, the Companies."
1071941,"ARCADIA RESOURCES, INC",000116796604001300_0002-(EX-10)_ex10-1.txt,"DECEMBER 22, 2004","2.19.5 The Contracts relating to the sale, design, manufacture, or provision of products or services by the Companies have been entered into in the Ordinary Course of Business and have been entered into without the commission of any act alone or in concert with any other Person, or any consideration having been paid or promised, that is or would be in violation of any Legal Requirement or customer or supplier requirement, restriction, code or rule of conduct."
1071941,"ARCADIA RESOURCES, INC",000116796604001300_0002-(EX-10)_ex10-1.txt,"DECEMBER 22, 2004","5.32 ""Intellectual Property Assets"" shall include the following assets: (a) the Companies' name, all fictional business names, trade names, registered and unregistered trademarks (""Marks""), service marks and applications; (b) all patents, patent applications, and inventions and discoveries that may be patentable (""Patents""); (c) all copyrights in both published works and unpublished works (""Copyrights""); and (d) all know-how, trade secrets, confidential information, customer lists, software, technical information, data, process technology, plans, drawings, and blue prints, owned, used or licensed by the Companies, or otherwise referenced in or affected by any Contract (""Trade Secrets"")."
1072379,NORTHWEST BIOTHERAPEUTICS INC,000089102004000641_0003-(EX-10.2)_EXHIBIT_10.2_v04302exv10w2.txt,"July 30, 2004","Maker management has not disclosed any such non-public Intellectual Property to any persons or entities other than (i) Maker employees or Maker contractors who had 20 EXECUTION VERSION a need to know and use such non-public Intellectual Property in the ordinary course of employment or contract performance, or (ii) prospective customers, and in each case who executed appropriate confidentiality agreements."
1072379,NORTHWEST BIOTHERAPEUTICS INC,000089102004000641_0003-(EX-10.2)_EXHIBIT_10.2_v04302exv10w2.txt,"July 30, 2004","Such Intellectual Property shall include, without limitation, all foreign and domestic intangible property and rights, owned, licensed or otherwise obtained by Maker, including, without limitation, (i) trademarks, service marks, brand names, certification marks, collective marks, d/b/a's, Internet domain names, logos, symbols, trade dress, assumed names, fictitious names, trade names, and other indicia of origin, all applications and registration for the foregoing, and all goodwill associated therewith and symbolized thereby, including all extensions, modifications and renewals of same, including without limitation those items reference on Appendix 1 hereto (collectively, ""Trademarks""); (ii) inventions, discoveries and ideas, whether patentable or not, and all patents, registrations and applications therefor, including divisions, continuations, continuations-in-part, requests for continued examination, and renewal applications, and including renewals, extensions and reissues, including without limitation those items reference on Appendix 2 hereto (collectively, ""Patents""); (iii) confidential and proprietary information, trade secrets and know-how, including, without limitation, processes, schematics, formulae, drawings, prototypes, models, designs and customer lists (collectively, ""Trade Secrets""); (iv) published and unpublished works of authorship, whether copyrightable or not (including, without limitation, databases and other compilations of information), copyrights therein and thereto, and registrations and applications therefor, and all renewals, extensions, restorations and reversions thereof (collectively, ""Copyrights""); (v) all FDA applications, registrations, filings and other rights (collectively, ""FDA Rights and Materials""); (vi) all results, information and data arising from, or obtained in connection with, research, development, pre-clinical work and/or clinical trials (collectively, ""Data""); and (vii) all other intellectual property or proprietary rights and claims or causes of action arising out of or related to any infringement, misappropriation or other violation of any of the foregoing, including rights to recover for past, present and future violations thereof (collectively, ""Other Proprietary Rights"")."
1072379,NORTHWEST BIOTHERAPEUTICS INC,000089102004000641_0003-(EX-10.2)_EXHIBIT_10.2_v04302exv10w2.txt,"July 30, 2004","27 EXECUTION VERSION (d) All contract rights, general intangibles and intellectual property, now owned or hereafter acquired, including, without limitation, goodwill, trademarks, service marks, trade styles, trade names, patents, patent applications, leases, license agreements, franchise agreements, blueprints, drawings, purchase orders, customer lists, route lists, infringements, claims, computer programs, computer discs, computer tapes, computer code, copyrights, literature, reports, catalogs, design rights, income tax refunds, payments of insurance and rights to payment of any kind."
1072886,WORONOCO BANCORP INC,000119312504217634_0002-(EX-2.1)_EXHIBIT_2.1_dex21.htm,"DECEMBER 16, 2004","Except as set forth in Section 3.1(d) of the Company Disclosure Schedule, the execution and delivery of this Agreement does not, and the consummation of the transactions contemplated hereby (including the Bank Combination (as defined in Section 5.3(c))) and compliance with the provisions of this Agreement will not, conflict with, or result in any violation, forfeiture or termination of, or default (with or without notice or lapse of time, or both) under, or give rise to a right of forfeiture, termination, cancellation or acceleration (with or without notice or lapse of time, or both) of any obligation or loss of a benefit or, in the case of clause (iii) below, any material obligation or loss of a material benefit, under, or result in the creation of any Lien upon any of the properties or assets of the Company or any of its Subsidiaries under, (i) the certificate of incorporation or bylaws of the Company, (ii) the certificate of incorporation or bylaws or the comparable organizational documents of any of its Subsidiaries, (iii) any loan or credit agreement, note, bond, mortgage, indenture, lease, vendor agreement, software agreement or other agreement, instrument, Intellectual Property (as defined in Section 3.1(n)) right, permit, concession, franchise, license or similar authorization applicable to the Company or any of its Subsidiaries or their respective properties or assets that is, individually or in the aggregate, material to the operations of the Company and its Subsidiaries, taken as a whole, or (iv) subject to the governmental filings and other matters referred to in the following sentence, any judgment, order, decree, statute, law, ordinance, rule or regulation applicable to the Company or any of its Subsidiaries or their respective properties or assets, other than, in the case of clauses (iii) and (iv) only, any such conflicts, violations, defaults, rights, losses or Liens that would not, individually or in the aggregate (x) reasonably be expected to result in a Material Adverse Effect on the Company or (y) reasonably be expected to materially impair or materially delay the ability of the Company to perform its obligations under this Agreement."
1072886,WORONOCO BANCORP INC,000119312504217634_0002-(EX-2.1)_EXHIBIT_2.1_dex21.htm,"DECEMBER 16, 2004","Except as set forth in the exhibit index for the Company’s Annual Report on Form 10-K for the year ended December 31, 2003 or as permitted pursuant to Section 4.1 or as set forth on Section 3.1(f) of the Company Disclosure Schedule, neither the Company nor any of its Subsidiaries is a party to or bound by (i) any agreement relating to the incurring of Indebtedness (as defined in this Section 3.1(f)) by the Company or any of its Subsidiaries in an amount in excess in the aggregate of $250,000, including any such agreement which contains provisions that restrict, or may restrict, the conduct of business of the issuer thereof as currently conducted (collectively, “ Instruments of Indebtedness ”), (ii) any “material contract” (as such term is defined in Item 601(b)(10) of Regulation S-K of the SEC), (iii) any non-competition or exclusive dealing agreement, or any other agreement or obligation which purports to limit or restrict in any respect (A) the ability of the Company or its businesses to solicit customers or (B) the manner in which, or the localities in which, all or any portion of the business of the Company and its Subsidiaries or, following consummation of the transactions contemplated by this Agreement, Parent and its Subsidiaries, is or would be conducted, (iv) any agreement providing for the indemnification by the Company or a Subsidiary of the Company of any Person, (v) any joint venture or partnership agreement, (vi) any agreement that grants any right of first refusal or right of first offer or similar right or that limits or purports to limit the ability of the Company or any of its Subsidiaries to own or operate any business or own, operate, sell, transfer, pledge or otherwise dispose of any material amount of assets or business, (vii) any contract or agreement providing for any material (individually or in the aggregate) payments that are conditioned, in whole or in part, on a change of control of the Company or any of its Subsidiaries, (viii) any collective bargaining agreement, (ix) any agreement with, or for the benefit of, any past or present director or officer of the Company under which the Company has a continuing obligation, whether fixed or contingent, and any employment agreement with, or any agreement or arrangement that contains any severance pay or post-employment liabilities or obligations (other than as required by law) to, any employee or former employee of the Company or its Subsidiaries (any such Person, hereinafter, an “ Employee ”), (x) any agreement regarding any agent bank or other similar relationships with respect to lines of business, (xi) any agreement that contains a “most favored nation” clause or other term providing preferential pricing or treatment to a third party, (xii) any agreement material to the Company pertaining to the use of or granting any right to use or practice any rights under any Intellectual Property, whether the Company is the licensee or licensor thereunder, (xiii) any material agreements pursuant to which the Company or any of its Subsidiaries leases any real property, (xiv) any contract or agreement material to the Company providing for the outsourcing or provision of servicing of customers, technology or product offerings of the Company or its Subsidiaries, and (xv) any contract or other agreement not made in the ordinary course of business consistent with past practice which (A) is material to the Company or (B) which would reasonably be expected to materially delay the consummation of the Merger or any of the transactions contemplated by this Agreement (the 17 agreements, contracts and obligations of the type described in clauses (i) through (xv) being referred to herein as “ Company Material Contracts ”)."
1072886,WORONOCO BANCORP INC,000119312504217634_0002-(EX-2.1)_EXHIBIT_2.1_dex21.htm,"DECEMBER 16, 2004","The execution and delivery of this Agreement does not, and the consummation of the transactions contemplated hereby (including the Bank Combination (as defined in Section 5.3(c)) and 40 compliance with the provisions of this Agreement will not, conflict with, or result in any violation, forfeiture or termination of, or default (with or without notice or lapse of time, or both) under, or give rise to a right of forfeiture, termination, cancellation or acceleration (with or without notice or lapse of time or both) of any obligation or loss of a benefit or, in the case of clause (iii) below, any material obligation or loss of a material benefit, under, or result in the creation of any Lien upon any of the properties or assets of Parent or any of its Subsidiaries under, (i) the certificate of incorporation or bylaws of Parent, (ii) the certificate of incorporation or bylaws or the comparable organizational documents of any of its Subsidiaries, (iii) any loan or credit agreement, note, bond, mortgage, indenture, lease, vendor agreement, software agreement or other agreement, instrument, Intellectual Property right, permit, concession, franchise, license or similar authorization applicable to Parent or any of its Subsidiaries or their respective properties or assets that is, individually or in the aggregate, material to the operations of Parent and its Subsidiaries, taken as a whole, or (iv) subject to the governmental filings and other matters referred to in the following sentence, any judgment, order, decree, statute, law, ordinance, rule or regulation applicable to Parent or any of its Subsidiaries or their respective properties or assets, other than, in the case of clauses (iii) and (iv) only, any such conflicts, violations, defaults, rights, losses or Liens that individually or in the aggregate would not (x) reasonably be expected to result in a Material Adverse Effect on Parent or (y) reasonably be expected to materially impair or materially delay the ability of Parent to perform its obligations under this Agreement."
1072886,WORONOCO BANCORP INC,000119312504217634_0002-(EX-2.1)_EXHIBIT_2.1_dex21.htm,"DECEMBER 16, 2004","Except as (i) expressly contemplated by this Agreement, (ii) disclosed in Section 4.1 of the Company Disclosure Schedule, (iii) consented to in advance by Parent in writing or (iv) except as required by applicable law or regulation, after the date hereof the Company shall not, and shall not permit any of its Subsidiaries to: 48 (i) other than dividends and distributions by a direct or indirect wholly owned Subsidiary of the Company to its parent, (x) declare, set aside or pay any dividends on, make any other distributions in respect of, or enter into any agreement with respect to the voting of, any of its capital stock (except for (1) quarterly cash dividends not to exceed $0.2025 per share on the Company Common Stock on substantially the same record and payment date schedule as has been utilized in the past, provided that in no event shall the Company declare, set aside or pay dividends on the Company Common Stock if such action would result in the holders of Company Common Stock receiving more than four cash dividend payments in any fiscal year, or more than one cash dividend payment for any fiscal quarter (without taking into account the special cash dividend contemplated by the succeeding clause (2)), when considered in conjunction with dividends to be paid by Parent following the Closing, and (2) one special cash dividend on the Company Common Stock not to exceed $0.25 per share, provided that the Company shall consult with Parent in advance with respect to the declaration, record and payment dates for such dividend), (y) split, combine or reclassify any of its capital stock or issue or authorize the issuance of any other securities in respect of, in lieu of, or in substitution for, shares of its capital stock, except upon the exercise of Company Stock Options that are outstanding as of the date hereof in accordance with their present terms, or (z) purchase, redeem or otherwise acquire any shares of capital stock or other securities of the Company or any of its Subsidiaries, or any rights, warrants or options to acquire any such shares or other securities; (ii) issue, grant, deliver, sell, pledge or otherwise encumber or subject to any Lien (other than Company Permitted Liens) any shares of its capital stock, any other voting securities, including any restricted shares of Company Common Stock, or any securities convertible into, or any rights, warrants or options to acquire, any such shares, voting securities or convertible securities, including any Company Stock Options (other than the issuance of Company Common Stock upon the exercise of Company Stock Options that are outstanding as of the date hereof in accordance with their present terms; (iii) amend its certificate of incorporation, bylaws or other comparable organizational documents; (iv) (A) acquire or agree to acquire by merging or consolidating with, or by purchasing any assets or any equity securities of, or by any other manner, any business or any Person, or otherwise acquire or agree to acquire any assets except in the ordinary course of business consistent with past practice (but subject to clause (xxi) below with respect to purchasing or selling any loans or any mortgage loan servicing rights), (B) open, close, relocate, purchase, lease, sell or acquire any banking or other offices, or file an application with a Governmental Entity pertaining to any such action or (C) enter into any new line of business; (v) sell, lease, license, mortgage or otherwise encumber or subject to any Lien (other than Company Permitted Liens), or otherwise dispose of any of its properties or assets other than securitizations and other transactions in the ordinary 49 course of business consistent with past practices or create any security interest in such assets or properties (other than Company Permitted Liens); (vi) except for the incurring of Permitted Deposit Liabilities (as defined below) in the ordinary course of business consistent with past practice, incur any Indebtedness for borrowed money (including any Federal Home Loan Bank borrowings or advances) or issue any debt securities or assume, guarantee or endorse, or otherwise become responsible for the obligations of any Person (other than the Company or any wholly owned Subsidiary thereof) or enter into any repurchase agreements, or, other than in the ordinary course of business consistent with past practice, make any loans, advances or capital contributions to, or investments in, any Person other than its wholly owned Subsidiaries and as a result of ordinary advances and reimbursements to Employees and endorsements of banking instruments; (vii) change in any material respect its accounting methods (or underlying assumptions), principles or practices affecting its assets, liabilities or business, including any reserving, renewal or residual method, practice or policy, in each case, in effect on the date hereof, except as required by changes in GAAP or regulatory accounting principles, or change any of its methods of reporting income and deductions for Federal income tax purposes from those employed in the preparation of the Federal income tax returns of the Company for the taxable year ending December 31, 2003, except as required by changes in law or regulation or as contemplated in Section 4.4 of this Agreement; (viii) change in any material respects its investment or risk management or other similar policies of the Company or any of its Subsidiaries; (ix) make, change or revoke any Tax election, file any amended Tax Return, enter into any Tax closing agreement, settle or compromise any liability with respect to Taxes (other than in amounts not to exceed $50,000 in the aggregate), agree to any adjustment of any Tax attribute, file any claim for a refund of Taxes, or consent to any extension or waiver of the limitation period applicable to any Tax claim or assessment; (x) create, renew or amend, or take any other action that may result in the creation, renewal, or amendment, of any agreement or contract or other binding obligation of the Company or its Subsidiaries containing (A) any restriction on the ability of the Company and its Subsidiaries, taken as a whole, to conduct its business as it is presently being conducted or (B) any restriction on the Company or its Subsidiaries engaging in any type or activity or business; (xi) (A) incur any capital expenditures in excess of $25,000 individually or $100,000 in the aggregate, other than pursuant to binding commitments existing on the date hereof and listed in Section 4.1(xi) and other expenditures necessary (following consultation with Parent) to maintain existing assets in good repair or to pay applicable Taxes when due, (B) enter into any agreement obligating the Company to spend more than $25,000 individually or $100,000 in the aggregate, or (C) enter into any 50 agreement, contract, lease or other arrangement of the type described in Section 3.1(f) or Section 3.1(y) of this Agreement; (xii) terminate, amend or otherwise modify, except in the ordinary course of business consistent with past practice, or knowingly violate the terms of, any of the Company Material Contracts, any of the leases for the Leased Properties or the Third Party Leases or any other material binding obligations; (xiii) except as required by agreements or instruments in effect on the date hereof, alter in any material respect, or enter into any commitment to alter in any material respect, any interest in any corporation, association, joint venture, partnership or business entity in which the Company directly or indirectly holds any equity or ownership interest on the date hereof (other than any interest arising from any foreclosure, settlement in lieu of foreclosure or troubled loan or debt restructuring in the ordinary course of business consistent with past practice); (xiv) except as contemplated by this Agreement, (A) grant or pay to any current or former director, officer, Employee or consultant any increase in compensation, bonus or other benefits, except for any such salary, wage, bonus or benefit increases (x) as required from time to time by applicable law affecting wages, (y) as required by the terms existing prior to the date hereof of plans or arrangements listed (including a specific description of such terms) in Section 4.1(xiv) of the Company Disclosure Schedule, (z) annual compensation increases to Employees who are not executive officers undertaken in the ordinary course of business consistent with past practice, (B) grant to any such current or former director, officer, Employee or consultant any increase in severance or termination pay (or take any other action that would result in an increase thereto), (C) enter into, or amend, or take any action to clarify any provision of, any Plan or any employment, deferred compensation, consulting, severance, termination or indemnification agreement with any such current or former director, officer, Employee or consultant, except as and when required by applicable law, (D) modify any Company Stock Option, (E) make any discretionary contributions to any pension plan, (F) hire any new employee at an annual compensation in excess of $40,000, except for the hiring of two customer service representatives by Woronoco Insurance Group, Inc., the wages of whom shall be consistent with past practice for comparable positions, (G) hire or promote any employee to a new rank having a title of vice president or other more senior rank or (H) accelerate the vesting or payment of compensation payable or benefits provided or to become payable or provided to any of current or former directors, officers, Employees, consultants or service providers or otherwise pay any amounts, grant any awards or provide any benefits not otherwise due except to the extent expressly permitted above; (xv) except for loans made on terms generally available to the public and otherwise in compliance with applicable law, make any new loans to, modify the terms of any existing loan to, or engage in any other transactions (other than routine banking transactions) with, any Affiliate Person of the Company or of any of its Subsidiaries; 51 (xvi) agree or consent to any material agreement or material modifications of existing agreements with any Governmental Entity in respect of the operations of its business, except as required by law; (xvii) pay, discharge, settle or compromise any claim, action, litigation, arbitration or proceeding, other than any such payment, discharge, settlement or compromise that involves solely money damages in an amount not in excess of $25,000 individually or $100,000 in the aggregate, and that does not create precedent for other pending or potential claims, actions, litigation, arbitration or proceedings; (xviii) incur deposit liabilities, other than liabilities incurred in the ordinary course of business consistent with past practice (including its deposit pricing policies) that do not materially change the risk profile of the Company and its Subsidiaries (it being understand that “ordinary course of business” shall not be deemed to include non-retail or “jumbo” certificates of deposit or Brokered Deposits) (“ Permitted Deposit Liabilities ”); (xix) make any equity investment or commitment to make such an investment in real estate or in any real estate development project, other than in the ordinary course of business consistent with past practice in connection with foreclosure, settlement in lieu of foreclosure, or troubled loan or debt restructuring; (xx) originate (i) any loans except in accordance with existing Company lending policies and practices, (ii) residential mortgage loans in excess of $500,000, (iii) 30-year residential mortgage loans whose interest rate, terms, appraisal, and underwriting or other features do not make them immediately available for sale in the secondary market, (iv) unsecured consumer loans in excess of $20,000, (v) commercial business loans in excess of $2,500,000 as to any loan or in the aggregate as to any related loans or loans to related Persons, (vi) commercial real estate first mortgage loans in excess of $2,500,000 as to any loan or in the aggregate as to any related loans or loans to related borrowers, or (vii) modifications and/or extensions of any commercial business or commercial real estate loans in the amounts set forth in (v) and (vi) above; (xxi) purchase or sell any loans or any mortgage loan servicing rights; (xxii) issue any broadly distributed communication of a general nature to Employees (including general communications relating to benefits and compensation) without prior consultation with Parent and, to the extent relating to post-Closing employment, benefit or compensation information without the prior consent of Parent (which shall not be unreasonably delayed or withheld), except for communications that, upon advice of outside counsel, are required by applicable law or by the requirements of the SEC, AMEX or the IRS (in which case the Company shall in any event use reasonable best efforts to consult with Parent in advance of such communications), or issue any broadly distributed communication of a general nature to customers without the prior approval of Parent (which shall not be unreasonably delayed or withheld), except for communications in the ordinary course of business consistent 52 with past practice that do not relate to the Merger or other transactions contemplated hereby; (xxiii) award or authorize the award of any Company Stock Options or Company Stock-Based Awards; (xxiv) create, renew, amend or permit to expire, lapse or terminate or knowingly take any action reasonably likely to result in the creation, renewal, amendment, expiration, lapse or termination of any insurance policies referred to in Section 3.1(o) except with Parent’s prior written consent, which shall not be unreasonably withheld; (xxv) knowingly take any action or knowingly fail to take any action which would reasonably be expected to result in any of the conditions of Article VI not being satisfied; or (xxvi) authorize, or commit or agree to take, any of the foregoing actions."
1072886,WORONOCO BANCORP INC,000119312504217634_0002-(EX-2.1)_EXHIBIT_2.1_dex21.htm,"DECEMBER 16, 2004","During the period from the date of this Agreement through the Effective Time, the Company shall not terminate, amend, modify or waive any provision of any confidentiality or standstill agreement to which it or any of its respective Subsidiaries is a party and which relates to the confidentiality or information regarding the Company or its Subsidiaries or which relate to securities of the Company, other than client and customer agreements entered into by the Company or its Subsidiaries in the ordinary course of business consistent with past practice."
